activity_id,activity_name,designation,fullName,name,parkCode,states,url
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Historical Park,Lowell National Historical Park,Lowell,lowe,MA,https://www.nps.gov/lowe/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Historical Park,Marsh - Billings - Rockefeller National Historical Park,Marsh - Billings - Rockefeller,mabi,VT,https://www.nps.gov/mabi/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Park,Mammoth Cave National Park,Mammoth Cave,maca,KY,https://www.nps.gov/maca/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Recreational River,Missouri National Recreational River,Missouri,mnrr,"SD,NE",https://www.nps.gov/mnrr/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Park,Mount Rainier National Park,Mount Rainier,mora,WA,https://www.nps.gov/mora/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Preserve,Noatak National Preserve,Noatak,noat,AK,https://www.nps.gov/noat/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Park,North Cascades National Park,North Cascades,noca,WA,https://www.nps.gov/noca/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,,National Parks of New York Harbor,National Parks of New York Harbor,npnh,NY,https://www.nps.gov/npnh/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,,National Park of American Samoa,National Park of American Samoa,npsa,AS,https://www.nps.gov/npsa/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Park,Olympic National Park,Olympic,olym,WA,https://www.nps.gov/olym/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Monument & Preserve,Oregon Caves National Monument & Preserve,Oregon Caves,orca,OR,https://www.nps.gov/orca/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,,Oxon Cove  Park & Oxon Hill Farm,Oxon Cove  Park & Oxon Hill Farm,oxhi,MD,https://www.nps.gov/oxhi/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Park,Petrified Forest National Park,Petrified Forest,pefo,AZ,https://www.nps.gov/pefo/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Park,Pinnacles National Park,Pinnacles,pinn,CA,https://www.nps.gov/pinn/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Lakeshore,Pictured Rocks National Lakeshore,Pictured Rocks,piro,MI,https://www.nps.gov/piro/index.htm
